"ProductID","Brand","Class","Assembly_status","Material_type","Required_capacity","Purchasing_cost","Selling_price","WeeklyDiscount","WeeklyDemand"
"P75416169E","AllModern","Bedding and bath","Not required","Polyester",1.5,54,64.99,39,173
"P75416169K","Grovelane","Bedding and bath","Not required","Polyester",1.6,379,469.99,33,122
"P75416169M","Everly Quinn","Decor","Not required","Glass",7.1,151,262.99,12,85
"P75416207A","GE","Appliances","Not required","Plastics",11,1109,1792.99,20,33
"P75416216","Bosch","Appliances","Not required","Steel",10.8,383,515.99,16,46
"P75416218","Rosdorf Park","Decor","Not Included","Glass",7.4,360,572.99,13,80
"P75416219","Rosdorf Park","Decor","Not required","Wood",7.9,427,694.99,13,75
"P75416225","Mercury Row","Rugs","Not required","Cotton",3,243,445.99,35,106
"P75416235","Everly Quinn","Decor","Not Included","Glass",7.2,821,1283.99,12,104
"P75416236","GE","Appliances","Not required","Steel",10.7,702,976.99,29,30
"P75416237","World Menagerie","Decor","Not required","Wood",7.8,1070,1702.99,11,83
"P75416238","World Menagerie","Decor","Not required","Glass",8.1,975,1573.99,20,79
"P75416248B","Samsung","Appliances","Not required","Plastics",10.9,882,1450.99,21,37
"P75416254","GE","Appliances","Not required","Plastics",10.9,665,908.99,20,37
"P75416258A","Everly Quinn","Decor","Not required","Wood",7.9,15,22.99,19,81
"P75416259","GE","Appliances","Not Included","Steel",10.9,811,1203.99,26,22
"P75417003","Rosdorf Park","Decor","Not required","Wood",7.7,731,1118.99,10,83
"P75417012A","GE","Appliances","Not required","Steel",10.6,658,845.99,15,27
"P75417012B","Rosdorf Park","Decor","Not required","Wood",7.6,372,556.99,10,78
"P75417012C","Everly Quinn","Decor","Not required","Wood",7.5,581,1045.99,16,68
"P75417012D","Grovelane","Bedding and bath","Not required","Flannel",1.6,309,349.99,34,161
"P75417012F","Mercury Row","Bedding and bath","Not required","Polyester",1.8,114,129.99,34,159
"P75417021","Grovelane","Bedding and bath","Not required","Cotton",1.6,351,414.99,38,156
"P75417038","Union Rustic","Rugs","Not required","Wool",2.5,524,854.99,33,111
"P75417084N","17 stories","Rugs","Not required","Wool",2.8,399,651.99,27,99
"P75417084P","GE","Appliances","Not required","Plastics",10.9,311,491.99,25,26
"P75417084R","Ashley","Furniture","Included","Wood",44.4,2450,4528.99,13,28
"P75417090A","Samsung","Appliances","Not required","Plastics",11.1,623,904.99,16,36
"P75417091J","Bosch","Appliances","Not required","Plastics",11,678,1067.99,16,43
"P75417107D","Union Rustic","Rugs","Not required","Cotton",2.7,182,326.99,37,105
"P75417129F","Rosdorf Park","Decor","Not required","Wood",8.2,466,663.99,14,77
"P75417136A","Everly Quinn","Decor","Not required","Wood",7.6,994,1770.99,19,73
"P75417174","World Menagerie","Decor","Not required","Wood",7.4,947,1717.99,17,82
"P75417191A","Union Rustic","Rugs","Not required","Cotton",2.6,303,488.99,33,105
"P75418094C","Samsung","Appliances","Not required","Steel",11,360,467.99,16,34
"P75418097C","17 stories","Rugs","Not required","Cotton",2.7,447,738.99,39,108
"P75420615","GE","Appliances","Not Included","Steel",11,70,112.99,30,37
"P75420616","17 stories","Rugs","Not required","Cotton",2.9,219,351.99,37,104
"P75420617","World Menagerie","Decor","Not required","Wood",8,939,1449.99,10,67
"P75420618","Ashley","Furniture","Not Included","Leather",44.9,2258,3968.99,17,17
"P75420619","Alwyn Home","Bedding and bath","Not required","Cotton",1.8,187,219.99,46,161
"P75420622","Mercury Row","Rugs","Not required","Silk",2.6,560,1028.99,35,122
"P75420652","Rosdorf Park","Decor","Not required","Wood",8,312,506.99,19,80
"P75420653","Alwyn Home","Bedding and bath","Not required","Cotton",1.7,185,223.99,34,147
"P75420654","World Menagerie","Decor","Not required","Wood",8.2,874,1229.99,15,71
"P75420655","World Menagerie","Decor","Not required","Wood",7.4,461,818.99,14,80
"P75420657","Rosdorf Park","Decor","Not required","Glass",8.2,432,780.99,16,83
"P75420658","Everly Quinn","Decor","Not required","Glass",7.5,377,608.99,18,62
"P75420659","Everly Quinn","Decor","Not required","Wood",8,52,73.99,16,80
"P75420661","Rosdorf Park","Decor","Not required","Wood",8.3,721,1318.99,11,72
"P75420662","Samsung","Appliances","Not required","Steel",10.7,306,405.99,17,28
"P75420663","GE","Appliances","Not required","Steel",10.9,693,1151.99,26,38
"P75420665","Rosdorf Park","Decor","Not required","Glass",7.7,660,1203.99,19,86
"P75420668","GE","Appliances","Not required","Plastics",10.6,439,759.99,26,36
"P75420669","Rosdorf Park","Decor","Not required","Glass",7.8,104,181.99,15,75
"P75420670","AllModern","Bedding and bath","Not required","Polyester",1.6,215,255.99,31,159
"P75420674","Mercury Row","Bedding and bath","Not required","Cotton",1.8,256,299.99,42,156
"P75420675","17 stories","Rugs","Not required","Cotton",2.7,340,590.99,33,115
"P75420676","Alwyn Home","Bedding and bath","Not required","Cotton",1.9,170,204.99,37,156
"P75420677","Grovelane","Bedding and bath","Not required","Polyester",1.5,51,62.99,36,128
"P75420678","Everly Quinn","Decor","Not required","Wood",7.7,790,1460.99,18,73
"P75420679","Grovelane","Bedding and bath","Not required","Cotton",1.6,408,495.99,35,145
"P75420682","World Menagerie","Decor","Not required","Wood",8,1089,1847.99,15,73
"P75420685","Bosch","Appliances","Not required","Steel",10.9,740,978.99,16,42
"P75420686","World Menagerie","Decor","Not required","Wood",7.8,752,1202.99,19,89
"P75420694","Bosch","Appliances","Not required","Steel",10.9,759,937.99,25,43
"P75420695","Ashley","Furniture","Not Included","Wood",44.7,1993,3576.99,14,16
"P75420696","Rosdorf Park","Decor","Not required","Wood",7.5,402,669.99,17,65
"P75420697","17 stories","Rugs","Not required","Cotton",2.9,559,1048.99,32,114
"P75420698","Grovelane","Bedding and bath","Not required","Cotton",1.8,394,482.99,43,148
"P75420699","Alwyn Home","Bedding and bath","Not required","Polyester",1.7,244,281.99,48,155
"P75420700","Mercury Row","Bedding and bath","Not required","Polyester",1.7,78,95.99,32,149
"P75420702","Everly Quinn","Decor","Not required","Wood",7.9,980,1411.99,16,82
"P75420704","World Menagerie","Decor","Not required","Wood",7.8,415,668.99,19,74
"P75420705","Rosdorf Park","Decor","Not required","Glass",8,865,1370.99,15,75
"P75420707","Mercury Row","Bedding and bath","Not required","Polyester",1.5,128,146.99,48,158
"P75420711","Bosch","Appliances","Not required","Steel",11,866,1301.99,23,31
"P75420712","Bosch","Appliances","Not required","Steel",11.1,797,1112.99,23,40
"P75420713","Grovelane","Bedding and bath","Not required","Cotton",1.9,358,408.99,40,154
"P75420717","Alwyn Home","Bedding and bath","Not required","Flannel",1.6,313,364.99,37,132
"P75420718","Rosdorf Park","Decor","Not required","Wood",7.6,371,648.99,13,79
"P75420719","Everly Quinn","Decor","Not required","Wood",7.7,672,1113.99,11,87
"P75420723","Bosch","Appliances","Not required","Steel",10.9,395,544.99,16,48
"P75420724","Alwyn Home","Bedding and bath","Not required","Polyester",1.6,224,274.99,32,149
"P75420725","Mercury Row","Bedding and bath","Not required","Cotton",1.9,255,304.99,37,149
"P75420726","Alwyn Home","Bedding and bath","Not required","Polyester",1.6,46,56.99,43,153
"P75420727","Samsung","Appliances","Not required","Plastics",10.8,976,1380.99,30,35
"P75420728","Samsung","Appliances","Not Included","Plastics",10.7,837,1325.99,29,27
"P75420733","Everly Quinn","Decor","Not required","Wood",8.4,453,789.99,13,80
"P75420735","World Menagerie","Decor","Not required","Wood",7.1,13,23.99,13,84
"P75420748","Bosch","Appliances","Not required","Plastics",10.6,390,576.99,26,42
"P75420749","GE","Appliances","Not required","Plastics",10.5,66,97.99,20,38
"P75420750","Everly Quinn","Decor","Not required","Glass",7.9,528,913.99,14,99
"P75420751","Samsung","Appliances","Not Included","Steel",10.6,468,799.99,18,42
"P75420752","Bosch","Appliances","Not required","Steel",10.5,1079,1442.99,16,38
"P75420754","Rosdorf Park","Decor","Not required","Wood",8.1,448,755.99,19,89
"P75420755","Mercury Row","Rugs","Not required","Wool",2.8,285,458.99,32,100
"P75420756","17 stories","Rugs","Not required","Wool",2.7,369,602.99,33,102
"P75420757","Mercury Row","Bedding and bath","Not required","Polyester",1.8,215,244.99,50,140
"P75420758","World Menagerie","Decor","Not required","Glass",7.4,394,635.99,13,83
"P75420759","World Menagerie","Decor","Not required","Glass",7.9,251,363.99,11,79
"P75420760","Grovelane","Bedding and bath","Not required","Cotton",1.8,56,66.99,37,148
"P75420761","Bosch","Appliances","Not required","Steel",10.8,801,1385.99,16,39
"P75420762","World Menagerie","Decor","Not required","Wood",7.6,752,1169.99,19,77
"P75420763","World Menagerie","Decor","Not required","Wood",7.7,376,567.99,17,59
"P75420764","Union Rustic","Rugs","Not required","Wool",3,510,939.99,40,99
"P75420765","GE","Appliances","Not Included","Plastics",11,328,517.99,23,34
"P75420766","AllModern","Bedding and bath","Not required","Flannel",1.5,211,255.99,36,176
"P75420767","Mercury Row","Bedding and bath","Not required","Polyester",1.7,273,333.99,35,134
"P75420768","Ethan Allen","Furniture","Not Included","Wood",45,1937,3684.99,14,5
"P75420769","Alwyn Home","Bedding and bath","Not required","Cotton",1.6,289,339.99,48,143
"P75420770","Rosdorf Park","Decor","Not required","Wood",7.3,526,928.99,20,93
"P75420771","Grovelane","Bedding and bath","Not required","Flannel",1.8,72,84.99,46,152
"P75420772","GE","Appliances","Not Included","Steel",11.1,1131,1427.99,24,26
"P75420774","Rosdorf Park","Decor","Not required","Wood",7.6,92,165.99,18,70
"P75420775","Bosch","Appliances","Not required","Steel",10.8,519,716.99,29,34
"P75420777","Everly Quinn","Decor","Not required","Wood",7.3,23,34.99,20,72
"P75420780","Alwyn Home","Bedding and bath","Not required","Polyester",1.7,93,106.99,42,161
"P75420781","Mercury Row","Rugs","Not required","Wool",2.8,493,854.99,25,107
"P75420782","Rosdorf Park","Decor","Not required","Glass",7.1,482,889.99,19,81
"P75420794","Union Rustic","Rugs","Not required","Cotton",2.7,297,537.99,27,105
"P75420795","AllModern","Bedding and bath","Not required","Flannel",1.7,376,425.99,47,151
"P75420796","World Menagerie","Decor","Not required","Glass",7.2,178,291.99,15,68
"P75420802","Grovelane","Bedding and bath","Not required","Flannel",1.7,85,100.99,34,143
"P75420819","Samsung","Appliances","Not required","Steel",10.7,553,905.99,28,35
"P75420821","World Menagerie","Decor","Not required","Glass",7.9,642,1167.99,15,78
"P75420828","Rosdorf Park","Decor","Not required","Wood",7.2,336,480.99,13,87
"P75420829","World Menagerie","Decor","Not required","Wood",7.5,304,476.99,11,75
"P75420830","17 stories","Rugs","Not required","Wool",2.9,228,367.99,25,104
"P75420831","Samsung","Appliances","Not required","Steel",10.7,872,1192.99,20,49
"P75420832","World Menagerie","Decor","Not required","Wood",7.6,1085,1733.99,14,82
"P75420835","Grovelane","Bedding and bath","Not required","Flannel",1.7,310,367.99,31,159
"P75420836","Rosdorf Park","Decor","Not required","Wood",8.1,24,43.99,11,78
"P75420837","Rosdorf Park","Decor","Not required","Glass",7.2,692,1044.99,13,90
"P75420838","Everly Quinn","Decor","Not required","Wood",7.4,360,504.99,18,77
"P75420839","Samsung","Appliances","Not required","Plastics",11.2,1199,1957.99,27,53
"P75420840","GE","Appliances","Not Included","Plastics",10.9,468,725.99,25,23
"P75420846","Mercury Row","Rugs","Not required","Cotton",2.9,510,957.99,27,106
"P75420847","Alwyn Home","Bedding and bath","Not required","Flannel",1.7,392,448.99,38,173
"P75420848","Mercury Row","Bedding and bath","Not required","Cotton",1.5,56,68.99,50,170
"P75420866","Alwyn Home","Bedding and bath","Not required","Flannel",1.6,47,56.99,44,162
"P75420867","Samsung","Appliances","Not Included","Plastics",11.1,538,909.99,20,25
"P75420868","Union Rustic","Rugs","Not required","Cotton",2.7,554,966.99,24,110
"P75420869","Samsung","Appliances","Not required","Plastics",10.5,191,298.99,25,39
"P75420886","Rosdorf Park","Decor","Not required","Wood",7.4,115,187.99,19,81
"P75420893","World Menagerie","Decor","Not required","Wood",7.2,995,1570.99,14,72
"P75420894","AllModern","Bedding and bath","Not required","Cotton",1.7,114,130.99,37,159
"P75420898","Union Rustic","Rugs","Not required","Cotton",2.7,164,282.99,33,112
"P75420901","Grovelane","Bedding and bath","Not required","Flannel",1.8,227,265.99,38,154
"P75420903","Samsung","Appliances","Not required","Plastics",11.1,1192,1467.99,28,35
"P75420914","Bosch","Appliances","Not Included","Plastics",10.8,139,203.99,20,31
"P75420931","AllModern","Bedding and bath","Not required","Cotton",1.8,383,440.99,36,146
"P75420932","Grovelane","Bedding and bath","Not required","Flannel",1.6,91,103.99,45,141
"P75420933","Rosdorf Park","Decor","Not Included","Wood",7.2,1079,1725.99,11,82
"P75420934","Samsung","Appliances","Not required","Steel",11.1,1144,1553.99,28,34
"P75420935","AllModern","Bedding and bath","Not required","Cotton",1.7,103,116.99,40,158
"P75420936","Rosdorf Park","Decor","Not required","Wood",7.9,659,1045.99,13,80
"P75420956","Grovelane","Bedding and bath","Not required","Flannel",1.8,264,305.99,49,141
"P75420961","GE","Appliances","Not required","Plastics",10.5,1178,1615.99,25,29
"P75420963","Everly Quinn","Decor","Not required","Glass",8.4,782,1325.99,17,63
"P75420967","Grovelane","Bedding and bath","Not required","Polyester",1.7,342,404.99,38,142
"P75420969","17 stories","Rugs","Not required","Cotton",2.7,349,626.99,22,106
"P75420970","Everly Quinn","Decor","Not required","Glass",7.2,409,674.99,15,79
"P75420971","Grovelane","Bedding and bath","Not required","Flannel",1.7,352,405.99,32,117
"P75420972","World Menagerie","Decor","Not required","Wood",7.9,1076,1623.99,18,71
"P75420973","GE","Appliances","Not Included","Plastics",11.1,60,99.99,18,26
"P75420974","AllModern","Bedding and bath","Not required","Polyester",1.6,332,397.99,35,148
"P75420975","17 stories","Rugs","Not required","Cotton",2.9,243,461.99,33,101
"P75420977","Union Rustic","Rugs","Not required","Cotton",2.8,492,790.99,36,105
"P75420978","AllModern","Bedding and bath","Not required","Cotton",1.6,47,54.99,50,149
"P75420979","Union Rustic","Rugs","Not required","Wool",2.8,120,195.99,24,130
"P75420981","World Menagerie","Decor","Not required","Glass",7.6,404,711.99,12,81
"P75420982","World Menagerie","Decor","Not required","Glass",8.2,429,774.99,17,67
"P75420983","World Menagerie","Decor","Not required","Wood",8.1,382,657.99,16,93
"P75420984","Union Rustic","Rugs","Not required","Silk",2.6,271,453.99,38,88
"P75420985","Samsung","Appliances","Not required","Plastics",11.1,707,1102.99,29,43
"P75420986","Mercury Row","Rugs","Not required","Silk",2.9,337,566.99,28,100
"P75420992","Rosdorf Park","Decor","Not required","Glass",8.3,755,1185.99,11,80
"P75420996","17 stories","Rugs","Not required","Wool",2.6,453,812.99,28,120
"P75420997","World Menagerie","Decor","Not required","Wood",7.4,1080,1815.99,16,81
"P75420998","Samsung","Appliances","Not required","Steel",10.8,728,906.99,23,45
"P75421000","Mercury Row","Bedding and bath","Not required","Flannel",1.8,298,339.99,38,162
"P75421001","Bosch","Appliances","Not Included","Steel",10.8,768,1023.99,25,28
"P75421002","World Menagerie","Decor","Not required","Wood",8.4,97,167.99,19,85
"P75421003","Alwyn Home","Bedding and bath","Not required","Polyester",1.5,342,408.99,40,164
"P75421012","Bosch","Appliances","Not required","Plastics",11,669,1132.99,29,51
"P75421014","AllModern","Bedding and bath","Not required","Cotton",1.6,250,282.99,34,166
"P75421015","17 stories","Rugs","Not required","Wool",2.5,232,426.99,26,102
"P75421025","World Menagerie","Decor","Not Included","Wood",8.3,257,452.99,14,98
"P75421026","Rosdorf Park","Decor","Not required","Wood",7.5,905,1432.99,15,81
"P75421027","World Menagerie","Decor","Not required","Wood",7.2,38,67.99,19,89
"P75421028","Samsung","Appliances","Not Included","Steel",10.8,839,1445.99,22,33
"P75421030","Rosdorf Park","Decor","Not required","Wood",7.3,231,337.99,14,83
"P75421031","Mercury Row","Bedding and bath","Not required","Cotton",1.7,218,259.99,35,152
"P75421032","World Menagerie","Decor","Not required","Wood",7.3,567,934.99,13,83
"P75421034","World Menagerie","Decor","Not required","Glass",7.7,288,439.99,11,77
"P75421035","World Menagerie","Decor","Not required","Wood",7.3,715,1265.99,14,83
"P75421039","World Menagerie","Decor","Not required","Glass",7.3,1025,1590.99,14,81
"P75421041","GE","Appliances","Not required","Steel",10.8,838,1285.99,20,43
"P75421042","Rosdorf Park","Decor","Not required","Wood",7.5,93,162.99,16,72
"P75421051","Mercury Row","Rugs","Not required","Cotton",2.9,476,804.99,32,122
"P75421054","Ethan Allen","Furniture","Not required","Fabric",47.6,1474,2594.99,10,23
"P75421055","Bosch","Appliances","Not required","Steel",10.8,1118,1616.99,23,49
"P75421056","Alwyn Home","Bedding and bath","Not required","Polyester",1.6,100,120.99,44,141
"P75421058","Union Rustic","Rugs","Not required","Wool",2.7,102,165.99,27,128
"P75421059","AllModern","Bedding and bath","Not required","Flannel",1.8,73,88.99,49,159
"P75421060","Alwyn Home","Bedding and bath","Not required","Cotton",1.8,100,114.99,41,170
"P75421061","Rosdorf Park","Decor","Not required","Glass",7.2,195,301.99,13,67
"P75421062","World Menagerie","Decor","Not required","Glass",7.5,406,625.99,10,72
"P75421063","Bosch","Appliances","Not Included","Plastics",10.7,570,819.99,24,22
"P75421064","Mercury Row","Rugs","Not required","Wool",2.7,110,201.99,21,111
"P75421065","Grovelane","Bedding and bath","Not required","Cotton",1.9,50,58.99,40,154
"P75421066","Alwyn Home","Bedding and bath","Not required","Cotton",1.7,303,373.99,39,126
"P75421067","Grovelane","Bedding and bath","Not required","Flannel",1.6,322,392.99,47,143
"P75421068","Samsung","Appliances","Not Included","Plastics",11.1,56,74.99,18,23
"P75421070","Bosch","Appliances","Not required","Steel",10.5,787,1097.99,26,45
"P75421071","Samsung","Appliances","Not required","Steel",10.9,485,672.99,26,44
"P75421078","Bosch","Appliances","Not Included","Steel",10.8,187,250.99,17,22
"P75421080","Samsung","Appliances","Not Included","Steel",11.1,935,1357.99,27,24
"P75421084","Bosch","Appliances","Not required","Steel",11.1,66,86.99,30,30
"P75421086","Mercury Row","Bedding and bath","Not required","Flannel",1.9,357,442.99,41,159
"P75421088","World Menagerie","Decor","Not required","Glass",7.5,137,225.99,13,67
"P75421090","World Menagerie","Decor","Not required","Glass",8.1,168,237.99,13,70
"P75421094","Samsung","Appliances","Not Included","Steel",10.9,1024,1504.99,27,27
"P75421096","Grovelane","Bedding and bath","Not required","Flannel",1.6,202,246.99,49,152
"P75421098","Samsung","Appliances","Not Included","Steel",10.8,643,1022.99,22,41
"P75421106","GE","Appliances","Not required","Steel",10.8,1045,1391.99,19,40
"P75421107","World Menagerie","Decor","Not required","Wood",7.4,866,1471.99,13,89
"P75421108","AllModern","Bedding and bath","Not required","Cotton",1.7,194,226.99,46,158
"P75421109","Bosch","Appliances","Not Included","Steel",10.8,308,494.99,17,27
"P75421110","Samsung","Appliances","Not required","Plastics",11,105,165.99,20,29
"P75421111","Mercury Row","Rugs","Not required","Cotton",2.6,212,371.99,34,124
"P75421112","Everly Quinn","Decor","Not required","Wood",8.3,570,838.99,13,74
"P75421114","Bosch","Appliances","Not required","Steel",10.9,494,823.99,27,40
"P75421115","Bosch","Appliances","Not Included","Plastics",10.9,520,847.99,24,26
"P75421116","Bosch","Appliances","Not required","Plastics",10.6,535,704.99,21,36
"P75421117","GE","Appliances","Not required","Steel",10.5,436,564.99,21,51
"P75421121","Rosdorf Park","Decor","Not required","Wood",7.3,238,431.99,12,68
"P75421122","Bosch","Appliances","Not required","Steel",11.1,446,605.99,28,53
"P75421123","Samsung","Appliances","Not Included","Steel",11.1,913,1207.99,29,22
"P75421124","Alwyn Home","Bedding and bath","Not required","Polyester",1.8,257,299.99,45,167
"P75421125","Samsung","Appliances","Not required","Steel",10.7,313,480.99,21,35
"P75421126","AllModern","Bedding and bath","Not required","Cotton",1.5,345,404.99,36,156
"P75421128","Everly Quinn","Decor","Not required","Glass",8.4,789,1144.99,15,61
"P75421129","17 stories","Rugs","Not required","Cotton",2.8,482,873.99,31,105
"P75421131","World Menagerie","Decor","Not required","Wood",7.6,923,1373.99,16,65
"P75421132","Grovelane","Bedding and bath","Not required","Polyester",1.5,333,392.99,47,167
"P75421135","GE","Appliances","Not Included","Steel",10.7,224,333.99,16,26
"P75421136","Grovelane","Bedding and bath","Not required","Polyester",1.6,161,183.99,44,157
"P75421137","Rosdorf Park","Decor","Not required","Wood",7.5,407,745.99,11,90
"P75421145","GE","Appliances","Not Included","Plastics",11.1,1028,1340.99,25,36
"P75421147","GE","Appliances","Not required","Plastics",10.9,331,571.99,18,45
"P75421154","GE","Appliances","Not Included","Plastics",11,504,696.99,24,38
"P75421155","17 stories","Rugs","Not required","Cotton",2.9,134,229.99,21,125
"P75421156","Alwyn Home","Bedding and bath","Not required","Flannel",1.9,394,12.99,32,156
"P75421157","Mercury Row","Bedding and bath","Not required","Cotton",1.7,282,349.99,38,153
"P75421158","Samsung","Appliances","Not required","Steel",11,1073,1683.99,21,30
"P75421159","GE","Appliances","Not Included","Steel",11.1,748,1193.99,18,17
"P75421162","World Menagerie","Decor","Not required","Wood",8.3,1081,1880.99,16,76
"P75421163","Everly Quinn","Decor","Not required","Glass",8.1,418,646.99,19,57
"P75421164","Grovelane","Bedding and bath","Not required","Polyester",1.7,210,242.99,39,149
"P75421165","Union Rustic","Rugs","Not required","Cotton",2.6,151,256.99,30,106
"P75421166","Grovelane","Bedding and bath","Not required","Polyester",1.7,264,325.99,47,143
"P75421167","GE","Appliances","Not required","Steel",10.9,981,1419.99,22,36
"P75421169","Everly Quinn","Decor","Not required","Glass",7.1,1063,1829.99,11,67
"P75421172","Rosdorf Park","Decor","Not required","Wood",7.1,336,585.99,13,74
"P75421174","Bosch","Appliances","Not required","Steel",11,799,1108.99,27,33
"P75421175","17 stories","Rugs","Not required","Cotton",2.9,387,696.99,36,104
"P75421181","Rosdorf Park","Decor","Not required","Wood",7.1,720,1079.99,16,73
"P75421189","Samsung","Appliances","Not Included","Steel",10.7,701,1034.99,24,22
"P75421190","Everly Quinn","Decor","Not Included","Wood",7.9,175,306.99,16,76
"P75421191","GE","Appliances","Not required","Steel",10.7,995,1486.99,22,45
"P75421192","Mercury Row","Bedding and bath","Not required","Cotton",1.7,147,178.99,38,130
"P75421194","Samsung","Appliances","Not Included","Plastics",11.1,846,1319.99,16,22
"P75421196","World Menagerie","Decor","Not Included","Glass",7.3,511,754.99,17,89
"P75421197","17 stories","Rugs","Not required","Wool",2.7,409,681.99,20,117
"P75421198","AllModern","Bedding and bath","Not required","Polyester",1.7,306,369.99,36,140
"P75421199","Mercury Row","Rugs","Not required","Wool",2.8,268,494.99,26,125
"P75421200","Grovelane","Bedding and bath","Not required","Polyester",1.6,382,443.99,34,137
"P75421201","AllModern","Bedding and bath","Not required","Cotton",1.8,290,326.99,44,161
"P75421202","Bosch","Appliances","Not required","Steel",11.1,697,958.99,17,40
"P75421204","Mercury Row","Rugs","Not required","Cotton",2.6,184,344.99,22,140
"P75421205","17 stories","Rugs","Not required","Wool",2.6,112,187.99,23,95
"P75421206","Rosdorf Park","Decor","Not required","Wood",7.3,189,290.99,16,83
"P75421207","Alwyn Home","Bedding and bath","Not required","Polyester",1.8,109,133.99,43,163
"P75421208","World Menagerie","Decor","Not required","Wood",7.6,849,1244.99,19,79
"P75421209","World Menagerie","Decor","Not required","Wood",7.9,328,478.99,15,91
"P75421210","GE","Appliances","Not required","Steel",11.1,736,1102.99,16,36
"P75421211","Ashley","Furniture","Included","Fabric",43.8,1046,2247.99,16,22
"P75421212","GE","Appliances","Not required","Steel",10.7,650,863.99,21,35
"P75421213","Grovelane","Bedding and bath","Not required","Flannel",1.8,169,192.99,49,156
"P75421215","Bosch","Appliances","Not required","Steel",10.8,747,1068.99,28,37
"P75421216","Samsung","Appliances","Not required","Steel",11.1,60,90.99,21,38
"P75421217","Everly Quinn","Decor","Not required","Wood",7.6,960,1532.99,14,79
"P75421218","World Menagerie","Decor","Not required","Wood",8,760,1319.99,11,81
"P75421219","Alwyn Home","Bedding and bath","Not required","Flannel",1.8,86,102.99,36,145
"P75421220","Everly Quinn","Decor","Not required","Glass",7.4,866,1354.99,18,83
"P75421221","GE","Appliances","Not required","Steel",10.9,371,510.99,16,39
